"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar producto al carrito de compras",": Agregar un producto al carrito de compras","SUCCESS","2023-07-02T14:33:47.7047603-05:00[America/Bogota]","0.0","18.33"
"Registro usuario","Registrar usuario de forma exitosa","SUCCESS","2023-07-02T14:34:44.1000407-05:00[America/Bogota]","0.0","17.63"
