"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar producto al carrito de compras",": Agregar un producto al carrito de compras","SUCCESS","2023-07-02T15:32:03.3518787-05:00[America/Bogota]","0.0","21.96"
"Registro usuario","Registrar usuario de forma exitosa","SUCCESS","2023-07-02T15:33:33.2193326-05:00[America/Bogota]","0.0","38.94"
